Class Date,Topics,Attendance,Participation
"Tuesday, August 27, 2024","Course Introduction, Probability and Statistics Applications and Examples",Submit Your Notes,N/A
"Thursday, August 29, 2024",Statistics Applications and Examples,Submit Your Notes,N/A
"Tuesday, September 3, 2024","Descriptive Statistics: Data Types, Data Visualization and Meanings, Measures of Association",Submit Your Notes,N/A
"Thursday, September 5, 2024","Descriptive Statistics: Measures of Location, Distribution Shape, Outliers",Submit Your Notes,Team Problem-Solving
"Tuesday, September 10, 2024","Descriptive Statistics: Measures of Variability, Measures of Association Between Two Variables",Submit Your Notes,Team Problem-Solving
"Thursday, September 12, 2024","Introduction to Probability: Counting Rules, Randomness, Addition Law, Conditional Probability",Submit Your Notes,Team Problem-Solving
"Tuesday, September 17, 2024","Introduction to Probability:  Random Variables, Expected Value",Submit Your Notes,Team Problem-Solving
"Thursday, September 19, 2024",Introduction to Probability: Bayes' Theorem,Submit Your Notes,Team Problem-Solving
"Tuesday, September 24, 2024","Discrete Probability: Variance, Covariance and Finance",Submit Your Notes,Team Problem-Solving
"Thursday, September 26, 2024",Discrete Probability: Discrete Distributions,Submit Your Notes,Team Problem-Solving
"Tuesday, October 1, 2024",Exam 1 Review,,
"Thursday, October 3, 2024",Exam 1,,
"Tuesday, October 8, 2024",Continuous Probability: Uniform and Normal Distributions,Submit Your Notes,Team Problem-Solving
"Thursday, October 10, 2024",No Class(I'll Be Travelling),,
"Tuesday, October 15, 2024",Continuous Probability: Normal Distributions,Submit Your Notes,Team Problem-Solving
"Thursday, October 17, 2024",Continuous Probability: Normal Distributions Lab,Submit Your Notes,Team Problem-Solving
"Tuesday, October 22, 2024","Sampling and Sampling Distributions: Sampling Methods, Point Estimate",Submit Your Notes,Team Problem-Solving
"Thursday, October 24, 2024","Interval Estimation: Population Mean, Sample Size and Proportion",Submit Your Notes,Team Problem-Solving
"Tuesday, October 29, 2024",Interval Estimation: Confidence Intervals,Submit Your Notes,Team Problem-Solving
"Thursday, October 31, 2024",Exam 2 Review ,,
"Tuesday, November 5, 2024",No Class(Go Vote),,
"Thursday, November 7, 2024",Exam 2,,
"Tuesday, November 12, 2024",Hypothesis Test: Null and Alternative Hypotheses and Error Types,Submit Your Notes,Team Problem-Solving
"Thursday, November 14, 2024",Hypothesis Test: Null and Alternative Hypotheses and Error Types,Submit Your Notes,Team Problem-Solving
"Tuesday, November 19, 2024",Hypothesis Test Lab,Submit Your Notes,Team Problem-Solving
"Thursday, November 21, 2024",Simple Linear Regression Basics Residual Analysis,Submit Your Notes,Team Problem-Solving
"Monday, November 25, 2024",Happy Thanksgiving(No Class),N/A,N/A
"Thursday, November 28, 2024",Happy Thanksgiving(No Class),N/A,N/A
"Tuesday, December 3, 2024",Simple Linear Regression: Model Assumption,Submit Your Notes,Team Problem-Solving
"Thursday, December 5, 2024",Using Python for Linear Regression and Any Statistics Calculations,Submit Your Notes,Team Problem-Solving
"Tuesday, December 10, 2024",Exam 3 Review,,
"Thursday, December 12, 2024",Reading Day,,
"Friday, December 13, 2024",Final Exam for the 2:10PM Class,,
"Tuesday, December 17, 2024",Final Exam for the 12:45PM Class,,
