Class Date,Topics,Attendance
"Wednesday, January 15, 2025","Course Introduction, Syllabus",Submit Your Notes or An Quiz
"Monday, January 20, 2025",MLK Holiday,N/A
"Wednesday, January 22, 2025",Probability and Statistics Applications and Examples,Submit Your Notes or An Quiz
"Monday, January 27, 2025","Descriptive Statistics: Data Types, Data Visualization and Meanings, Measures of Association",Submit Your Notes or An Quiz
"Wednesday, January 29, 2025","Descriptive Statistics: Measures of Location, Distribution Shape, Outliers",Submit Your Notes or An Quiz
"Monday, February 3, 2025","Descriptive Statistics: Measures of Variability, Measures of Association Between Two Variables",Submit Your Notes or An Quiz
"Wednesday, February 5, 2025","Introduction to Probability: Counting Rules, Randomness, Addition Law, Conditional Probability",Submit Your Notes or An Quiz
"Monday, February 10, 2025","Introduction to Probability:  Random Variables, Expected Value",Submit Your Notes or An Quiz
"Wednesday, February 12, 2025",Introduction to Probability: Bayes' Theorem,Submit Your Notes or An Quiz
"Monday, February 17, 2025","Discrete Probability: Variance, Covariance and Finance",Submit Your Notes or An Quiz
"Wednesday, February 19, 2025",Discrete Probability: Discrete Distributions,Submit Your Notes or An Quiz
"Monday, February 24, 2025",Exam 1 Review,N/A
"Wednesday, February 26, 2025",Exam 1,N/A
"Monday, March 3, 2025",Continuous Probability: Uniform and Normal Distributions,Submit Your Notes or An Quiz
"Wednesday, March 5, 2025",No Class,N/A
"Monday, March 10, 2025",Spring Break - Have Fun!,N/A
"Wednesday, March 12, 2025",Spring Break - Have Fun!,N/A
"Monday, March 17, 2025",Continuous Probability: Normal Distributions Lab,Submit Your Notes or An Quiz
"Wednesday, March 19, 2025","Sampling and Sampling Distributions: Sampling Methods, Point Estimate",Submit Your Notes or An Quiz
"Monday, March 24, 2025",Sampling and Sampling Distributions Lab,
"Wednesday, March 26, 2025",Exam 2 Review,
"Monday, March 31, 2025",Exam 2,
"Wednesday, April 2, 2025","Interval Estimation: Population Mean, Sample Size and Proportion",Submit Your Notes
"Monday, April 7, 2025",Interval Estimation: Confidence Intervals,Submit Your Notes
"Wednesday, April 9, 2025",Hypothesis Test: Null and Alternative Hypotheses and Error Types,Submit Your Notes
"Monday, April 14, 2025",Hypothesis Test: Null and Alternative Hypotheses and Error Types,Submit Your Notes
"Wednesday, April 16, 2025",Hypothesis Test Lab,Submit Your Notes
"Monday, April 21, 2025",Simple Linear Regression Basics Residual Analysis,Submit Your Notes
"Wednesday, April 23, 2025",Simple Linear Regression: Model Assumption,Submit Your Notes
"Monday, April 28, 2025",Using Python for Linear Regression and Any Statistics Calculations,Submit Your Notes
"Wednesday, April 30, 2025",Final Exam Review,
"Monday, May 5, 2025",Reading Day,
TBD,Common Final Exam,
